infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
39213d2966f4ec3e540dcb62bd66624dcc6367de,2012-09-13 22:32:52,524288,7628,0,3999268864
f646e4b787f9b009b93e9f09536f5ea3ef54b498,2008-05-12 13:01:20,262144,16339,8,4283005757
5c7c24a7e95634a6781bf1fe9f2f42a1ddb973f0,2010-01-20 08:48:45,524288,722,6291,378025689
fadb34261e8ba7dcce41cfa479d72240f3a36f12,2008-09-26 13:58:56,262144,12474,0,3269744640
5293eaed2ec7e050b4d2333e52887099dd16ebef,2006-11-03 00:44:48,262144,2729,0,715325440
91998f231c9c3615b23d65fbf4eaef249f28576c,2005-07-12 11:20:42,262144,2801,0,734238720
db76abd096feabda899cd5ccc91cd2b64aa5a0db,2006-05-30 14:23:07,262144,4673,0,1224948600
0819ccee9ebe25d7a02fe14496d58af10ef94aec,2011-05-16 12:04:40,262144,12087,4,3168464778
713025becf9c414671a76dcc07efb6c3e3a2755b,2012-06-25 07:22:23,1048576,2555,17,2678194861
b6facfe2ac4d92cbe44f4b5d03ad377a1e30562f,2007-06-18 02:00:28,262144,9707,0,2544392192
30edcc0db535dbd62595433ae260fba9b94b7af1,2006-03-19 20:47:35,262144,13209,2,3462630061
a4f2ddf4b678819fbeefdd31f496c9b1d172d627,2007-12-04 09:07:09,262144,2905,0,761372426
c2d82748b28b31efa3c1283b27858ae2c815d013,2005-07-15 11:12:38,262144,2801,0,734099456
41e9ce0ec4a1964a50490ba87abe01039706553a,2005-07-14 10:25:31,262144,2801,0,734246912
6c6fb887dd5634da61dd08994efd20cb2b65206c,2014-11-05 06:34:28,2097152,3619,12,7589394360
f14cacc2c826faa600ce155ea442a3dc1b85f632,2005-09-01 13:36:57,262144,2798,0,733290496
aad9521155c338442ceebb8bea33e2eef54621e2,2010-03-06 19:50:45,2097152,1070,392,2242024369
580462b68e32c5b9fe3b306fdca90c3d9e977649,2011-05-17 08:31:36,262144,2728,3,714898880
d3526923f3825c16f45d890f24e3758ab2053803,2008-05-12 13:00:03,262144,2763,2,724121978
3ac28dde13ef4d5a09bcc3ce065f476d628c013c,2006-03-19 20:44:52,262144,13418,7,3517190829
dbe447a13d3a805d9b6e11adc235202c49be70df,2005-07-12 13:21:59,262144,2797,0,733040640
986b2527d47eef8ffdc56103dcd738cfc76496e7,2014-11-09 13:06:58,2097152,2637,9,5528242095
e5310fe31cbcb753f6e95fc2122b15c838f6f1f9,2009-01-31 17:11:01,262144,681,2011,178328117
3ee939ac8f1a0fc0727a83d26a64117a10888356,2013-05-08 18:49:10,4194304,11085,4568,46493323853
7f196d5eb8252d9e0c8cf103d3ed6dc02f005a14,2008-05-30 12:54:51,262144,3468,0,908930329
decbbcb9f39c13b29eb7a3f26846c26e6028753f,2005-08-02 14:13:38,262144,2801,0,734208000
ca9e48830990edfe03c41d529429ba66881ea7e6,2007-11-06 14:03:15,262144,14302,2,3748935751
c860e483c845258201afdcc45db1e83abb933e49,2007-02-17 20:52:45,131072,1963,124,257163309
becb9d4b630e4158540db683129b9fa7aecd451f,2008-05-12 13:05:34,262144,15887,8,4164477784
8bc049ad1d22d3c068ea78c6536e10a13f190c09,2005-10-23 02:56:29,262144,2800,0,733962240
8279ff8b9232ddd32a4e964eba0561d41eaaa364,2007-11-06 14:02:16,262144,2770,2,726038597
f46089bbde90ade2840e34585c425d8e646741f1,2006-03-19 20:45:36,262144,12412,2,3253670559
a8942efc9872e718954dfc6754d91b578320a191,2008-05-12 13:06:54,262144,2774,2,727169406
a9f35c70b29708bb0af77dad926380aadfad483b,2012-05-11 09:52:16,4194304,3700,18,15517687795
d3526923f3825c16f45d890f24e3758ab2053803,2008-05-12 13:00:03,262144,2763,2,724121978
f9a9ab755c9d0e749f2cd706b70efd6c0065edc2,2010-02-28 23:42:01,2097152,3520,4,7380948138
d4a6d1d2802ad44d9e4c64d684b32c7542737d4b,2012-03-21 21:25:08,262144,13615,0,3568898233
7f34612e0fac5e7b051b78bdf1060113350ebfe0,2008-05-29 07:03:07,262144,2767,0,725106140
4613b4e4ec012521d320ae9ea8a23ca0add76171,2012-04-02 20:27:02,4194304,12756,3030,53501393672
aad9521155c338442ceebb8bea33e2eef54621e2,2010-03-06 19:50:45,2097152,1070,392,2242024369
29779762eb2f0fb65493efcdc529554f16ac1d7f,2006-08-17 21:11:32,262144,5866,0,1537671168
b7f33e9b600dfdce2ea2078469b2a271349ecdf0,2012-08-30 02:58:40,262144,2684,1,703594496
b735039bf036dfa158281474a225ea54dd816138,2008-05-12 12:58:55,262144,13665,7,3582100228
b7f33e9b600dfdce2ea2078469b2a271349ecdf0,2012-08-30 02:58:40,262144,2684,1,703594496
71e01ded587ab81d69c43822fc53627750b8ad20,2006-12-25 02:45:39,262144,2800,0,733871032
1830ff2a734f2f5758deca9deefaa4438fae82f9,2006-03-19 20:43:53,262144,13931,7,3651900056
